Full,Ra dec,_r,_RAJ2000,_DEJ2000,Plx,e_,Gmag,e_
,,arcsec,"""h:m:s""","""d:m:s""",mas,mas,mag,mag
1,15:41:48.78 -52:48:58.58,0.804,15 41 48.8722301432,-52 48 58.752916399,0.4418,0.132,17.9471,0.0013
1,15:41:48.72 -52:53:30.00,1.508,15 41 48.8793864400,-52 53 30.509702603,0.3525,0.0413,15.2953,0.0004
1,15:42:29.10 -52:49:24.22,0.991,15 42 29.2087041542,-52 49 24.350208587,0.5917,0.0673,16.4981,0.0008
1,15:42:47.77 -52:47:25.44,0.172,15 42 47.7811865551,-52 47 25.451798432,0.7757,0.0415,15.4369,0.0005
1,15:41:57.24 -52:52:52.87,0.697,15 41 57.3169912321,-52 52 52.762726832,0.5467,0.0643,16.64,0.0007
1,15:42:45.65 -52:45:55.83,1.074,15 42 45.7687631931,-52 45 55.874535948,0.5859,0.0714,16.4149,0.0007
1,15:42:38.76 -52:50:06.93,1.287,15 42 38.9000874005,-52 50 07.218903965,0.6147,0.0369,15.0809,0.0004
1,15:41:51.57 -52:43:48.00,1.803,15 41 51.7681545874,-52 43 47.523969747,-0.0611,0.1328,16.8242,0.0008
1,15:41:55.50 -52:54:19.81,0.763,15 41 55.5902064906,-52 54 19.957075292,0.5042,0.0688,16.7158,0.0008
1,15:41:40.02 -52:52:01.97,1.208,15 41 40.1431036067,-52 52 02.519343710,0.4664,0.1778,18.4321,0.0017
2,15:41:40.02 -52:52:01.97,1.464,15 41 40.0250890632,-52 52 00.506666352,? ,? ,20.9731,0.0204
1,15:41:57.73 -52:51:18.73,1.052,15 41 57.8501928045,-52 51 18.679588012,0.356,0.0847,16.2208,0.0012
2,15:41:57.73 -52:51:18.73,1.993,15 41 57.9006129132,-52 51 19.976452503,0.4799,0.1036,17.0729,0.001
1,15:42:12.53 -52:54:31.90,0.763,15 42 12.6219751153,-52 54 31.682085202,0.3622,0.0705,15.9856,0.0007
